category,name,phase,covered
element,score-timewise,1,*
attribute,score-timewise/@version,1,
element,work,1,*
element,work/work-number,1,
element,work/work-title,1,*
element,movement-number,1,
element,movement-title,1,*
element,identification,1,
element,identification/creator,1,
attribute,creator/@type,1,
element,identification/rights,1,
element,identification/encoding,1,
element,encoding/software,1,
element,encoding/encoding-date,1,
element,defaults,1,
element,defaults/scaling,1,
element,scaling/millimeters,1,
element,scaling/tenths,1,
element,defaults/lyric-font,2,
attribute,lyric-font/@font-family,2,
attribute,lyric-font/@font-size,2,
element,credit,1,
attribute,credit/@page,1,
element,credit/credit-words,1,
attribute,credit-words/@justify,1,
attribute,credit-words/@valign,1,
attribute,credit-words/@font-size,1,
element,part-list,1,*
element,score-part,1,*
attribute,score-part/@id,1,*
element,score-part/part-name,1,
element,score-part/part-abbreviation,1,
element,score-part/score-instrument,1,
element,score-instrument/instrument-name,3,
element,score-instrument/instrument-sound,3,
element,score-instrument/virtual-instrument,3,
element,virtual-instrument/virtual-library,3,
element,virtual-instrument/virtual-name,3,
element,midi-device,3,
attribute,midi-device/@id,3,
attribute,midi-device/@port,3,
element,midi-instrument,3,
attribute,midi-instrument/@id,3,
element,midi-instrument/midi-channel,3,
element,midi-instrument/midi-program,3,
element,midi-instrument/midi-unpitched,3,
element,midi-instrument/volume,3,
element,midi-instrument/pan,3,
element,midi-instrument/elevation,3,
element,measure,1,*
attribute,measure/@number,1,
attribute,measure/@implicit,1,
attribute,measure/@width,1,
element,part,1,*
attribute,part/@id,1,*
element,attributes,1,*
element,attributes/divisions,1,
element,attributes/key,1,
element,key/fifths,1,
element,key/mode,1,
element,attributes/time,1,*
attribute,time/@symbol,1,
element,time/beats,1,*
element,time/beat-type,1,*
element,time/senza-misura,1,
element,attributes/staves,1,
element,attributes/clef,1,*
attribute,clef/@number,1,
element,clef/sign,1,*
element,clef/sign (TAB value),2,
element,clef/line,1,
element,clef/clef-octave-change,1,
element,attributes/transpose,1,
element,transpose/diatonic,1,
element,transpose/chromatic,1,
element,transpose/octave-change,1,
element,attributes/staff-details,2,
attribute,staff-details/@number,2,
element,staff-details/staff-type,2,
element,staff-details/staff-lines,2,
element,staff-details/staff-tuning,2,
attribute,staff-tuning/@line,2,
element,staff-tuning/tuning-step,2,
element,staff-tuning/tuning-octave,2,
element,staff-details/capo,2,
element,note,1,*
element,note/grace,1,
attribute,grace/@slash,1,
element,note/cue,1,
element,note/chord,1,
element,note/pitch,1,*
element,pitch/step,1,*
element,pitch/octave,1,*
element,pitch/alter,1,
element,note/rest,1,*
attribute,rest/@measure,1,
element,note/unpitched,1,
element,note/duration,1,
element,note/tie,1,
attribute,tie/@type,1,
element,note/instrument,3,
attribute,instrument/@id,3,
element,note/type,1,*
element,note/dot,1,
element,note/accidental,1,
element,note/time-modification,1,
element,time-modification/actual-notes,1,
element,time-modification/normal-notes,1,
element,time-modification/normal-type,1,
element,note/stem,1,
element,note/notehead,1,
element,note/staff,1,
element,note/voice,3,
element,note/beam,1,*
attribute,beam/@number,1,
attribute,note/@dynamics,3,
attribute,note/@end-dynamics,3,
attribute,note/@attack,3,
attribute,note/@release,3,
attribute,note/@pizzicato,3,
element,note/notations,1,
element,notations/tied,1,
attribute,tied/@type,1,
element,notations/slur,1,
attribute,slur/@type,1,
attribute,slur/@number,1,
element,notations/tuplet,1,
attribute,tuplet/@type,1,
attribute,tuplet/@number,1,
attribute,tuplet/@bracket,1,
element,notations/fermata,1,
attribute,fermata/@type,1,
attribute,fermata/@placement,1,
element,notations/articulations,1,
element,articulations/accent,1,
element,articulations/strong-accent,1,
element,articulations/staccato,1,
element,articulations/tenuto,1,
element,articulations/detached-legato,1,
element,articulations/staccatissimo,1,
element,articulations/spiccato,1,
element,articulations/stress,1,
element,articulations/unstress,1,
element,articulations/soft-accent,1,
element,notations/ornaments,1,
element,ornaments/trill-mark,1,
